requirement,requirement_detail,product_id
 Tiefspül - WC Duravit Starck 3 - Duravit Rimless," Tiefspüler wandhängend mit verdeckter Befestigung. Spülrandloses Wand-WC mit patentierter Duravit Rimless# Spültechnologie aus Sanitärkeramik für 4,5 Liter Spülwasser nach EWL Klasse 1. Außen glatte geschlossene rechteckige Beckenform vorne übergehend in einen Halbkreis. Wandanschluss mit Aufkantung. Bodenfreiheit 60/95mm bei Einbauhöhe 400mm. Abmessungen(BxTxH)360x540x340mm. Farbe: weiß Einschl. Befestigung für Wand-WC und Schallschutzset.   Hersteller / Typ: Duravit / Starck 3 #2527090000",2527090000
 Badewanneanlage 75 x 170 x 48 cm  Duravit," Brausewannenanlage, bestehend aus: Duravit Badewanne DuraStyle aus 5 mm Sanitäracryl, 1700x750x480mm Rechteck, Einbauversion mit 1 Rückenschräge links Bestellnummer: 700296000000000 Farbe: 00 Weiss EAN: 4021534863349   Technische Eigenschaften - Farbe: weiß - Überlauf: sichtbar - B / Breite (cm): 130 cm - H / Höhe (cm): 18,5 cm - T / Tiefe (cm): 48 cm  Fabrikat: Duravit Typ:      DuraStyl oder gleichwertiger Art  einschl. Mepa Wannenfuß Typ WA für Acrylbadewannen und Wannenabdichtband Aquaproof Typ II  einschl. MULTIPLEX-TRIO-Ab-/Überlauf-Badewannen-Set (Ab-/Überlauf Sonderwannen, Ausstattungsset Visign MT5, Anschlussgarnitur)  komplett liefern und in Zusammenarbeit mit den Estrich- bzw. Fliesenleger fachgerecht einbauen. ",790100000000000
 Urinalbecken, Urinalbecken Urinal absaugend aus Sanitärkeramik mit Zulauf von hinten Für Siphon Abgang waagerecht optional senkrecht. Außen glatte geschlossene Form. Einschließlich Befestigung. einschließlich Urinal-Absaugesiphon Spülmenge 1 Liter. Abmessungen(BxTxH) 300x340x560mm. Befestigung: an Vorwandelement Zulauf: von hinten Ablauf: nach hinten mit Befestigungssatz Farbe: weiß ,2804300000
 Waschtisch ME by Starck 600x460mm weiss," Waschtisch mit Hahnloch, mit Überlauf einschl. Befestigungssatz und Montagestreifen, mit weißem Silikon dauerelastisch versetzen und Anschluss ausfugen Größe:               600 x 460 mm Farbe:               weiss Fabrikat:              Duravit Serie:      ME by Starck Liefern und montieren",2335600000
 Einbauwaschtisch von unten," Duravit Einbauwaschtisch Starck 3 aus Sanitärkeramik, 525x400x190 mm Becken 490x365 mm mit Überlauf, mit Hahnlochbank Einbau von unten Bestellnummer: 0302490000 Farbe: 00 Weiß Ausführung: 1 Hahnloch  liefern und montieren",0302490000
 Wand-Tiefspülklosett," DURAVIT Starck 3 Wand-WC Duravit Rimless#, Design by Philippe Starck, Tiefspüler wandhängend mit verdeckter Befestigung. Spülrandloses Wand-WC mit patentierter Duravit Rimless# Spültechnologie aus Sanitärkeramik für 4,5 Liter Spülwasser nach EWL Klasse 1. Außen glatte geschlossene rechteckige Beckenform vorne übergehend in einen Halbkreis. Wandanschluss mit Aufkantung. Bodenfreiheit 60/95mm bei Einbauhöhe 400mm. Abmessungen(BxTxH)360x540x340mm.  Weiß  Fabrikat: Duravit Typ: Philippe Starck 3  Material und Lohn",2527090000
" WC-Sitz mit Deckel, Scharnierwelle aus V2A für Duravit PHILIPP STARCK 3 WC, Spülrandlos "," WC-Sitz mit Deckel, aus durchgefärbtem Duroplast mit Edelstahlscharnieren und Absenkautomatik. passend für das vorbeschriebene Duravit PHILIPP STARCK 3 WC, Spülrandlos  Farbe:      weiß  liefern und montieren   ",0063890000
" Schulbecken, aus Sanitärporzellan, Farbton weiß "," Schulbecken, aus Sanitärporzellan, Farbton weiß, ein Platz, mit Loch für Einlocharmatur, mit rundem Innenbecken, mit Seifen- und Schwammablage, Durchmesser über 400 bis 450 mm, Befestigung an Installationselement, mit Schallschutz DIN 4109. ",0685600011
 Wand WC-Keramik," Wand-WC Compact Tiefspüler aus Sanitärkeramik 370x480x350mm, rimless, Durafix für 4,5 Liter Spülwasser Farbe: Innenfarbe Weiß Hochglanz, Aussenfarbe Weiß Seidenmatt, HygieneGlaze Bestellnummer: 2530099000  inkl. Schallschutzsets, zur Körperschallentkopplung zwischen WC und Wand bestehend aus: Schaumstoffplatte, Befestigungshülsen und Abspritzen des WCs zur Wand hin mit Silikon.  Hersteller: Duravit Typ: Wand WC Compact, Me by Starck",2530099000
"WC-Deckel, Kunststoff, weiß"," WC-Deckel, Kunststoff, weiß WC-Sitz Kunststoff Scharniere aus Edelstahl mit Absenkautomatik-Funktion Farbe: Weiß passend zum Tiefspül-WC aus Position 1.3.9 Planungsfabrikat Pagette Angebotenes Fabrikat @60 Textergänzungen des Bieters '....................................................' Komplett liefern und montieren",0063890000
