product_id,name,description,category
0014220000,"DU Vario-Anschluss-Set für WC mit Universal-Abgang, inkl. Excenter",Duravit Standardartikel Ablaufgarnituren Anschluss-Set,Badzubehör & Accessoires
0014280000,"DU Ablaufbogen mit Rosette Abgang waagrecht, weiß","Duravit Ablaufbogen, Durchmesser Zulauf: 130 mm, Durchmesser Ablauf: 110 mm",Badzubehör & Accessoires
0014290000,"DU Ablaufstutzen mit Rosette Abgang waagrecht, weiß",Duravit Ablaufstutzen,Badzubehör & Accessoires
0020010000,DU Me by Starck WC-Sitz o. Absenk. Weiß,"Duravit ME by Starck WC-Sitz, Weiß Hochglanz, Absenkautomatik: Nein, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020012600,DU Me by Starck WC-Sitz o.Absenk. Weiß/Weiß Seidenmatt,"Duravit ME by Starck WC-Sitz, Weiß Seidenmatt, Absenkautomatik: Nein, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020090000,"DU Me by Starck WC-Sitz, m. Absenk., Weiß","Duravit ME by Starck WC-Sitz, Weiß Hochglanz, Absenkautomatik: Ja, Sitzgarnitur abnehmbar, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020092600,DU Me by Starck WC-Sitz m. Absenk. Weiß/Weiß Seidenmatt,"Duravit ME by Starck WC-Sitz, Weiß Seidenmatt, Absenkautomatik: Ja, Sitzgarnitur abnehmbar, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020110000,"DU Me by Starck WC-Sitz,Comp.,o.Absenk. Weiß Seidenmatt","Duravit ME by Starck WC-Sitz, Weiß Hochglanz, Absenkautomatik: Nein, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020112600,"DU Me by Starck WC-Sitz,Comp.,o.Absenk. Weiß/Weiß Seidenmatt","Duravit ME by Starck WC-Sitz, Weiß Seidenmatt, Absenkautomatik: Nein, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020190000,"DU Me by Starck WC-Sitz,Comp.,m.Absenk. Weiß","Duravit ME by Starck WC-Sitz, Weiß Hochglanz, Absenkautomatik: Ja, Sitzgarnitur abnehmbar, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020192600,"DU Me by Starck WC-Sitz,Comp.,m.Absenk. Weiß/Weiß Seidenmatt","Duravit ME by Starck WC-Sitz, Weiß Seidenmatt, Absenkautomatik: Ja, Sitzgarnitur abnehmbar, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020390000,"DU WC-Sitz P3 Comforts m.Absenkautomatik Scharniere edelstahl, weiß","Duravit P3 Comforts WC-Sitz, Form: Rechteckig, Weiß Hochglanz, Absenkautomatik: Ja, Sitzgarnitur abnehmbar, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020610000,"DU WC-Sitz DuraStyle Vital, mit Winkelpuffern,Scharniere edelstahl,weiß","Duravit DuraStyle WC-Sitz, Weiß Hochglanz, Absenkautomatik: Nein, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl",WC-Sitze
0020710000,"DU WC-Sitz Duravit No.1 o. Absenkautom. Scharniere edelstahl, weiß","Duravit Duravit No.1 WC-Sitz, Form: D-shaped, Weiß Hochglanz, Absenkautomatik: Nein, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0020790000,"DU WC-Sitz Duravit No.1 m.Absenkautom. Scharniere edelstahl, weiß","Duravit Duravit No.1 WC-Sitz, Form: D-shaped, Weiß Hochglanz, Absenkautomatik: Ja, Sitzgarnitur abnehmbar, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
0021110000,"DU WC-Sitz Design Classics Viu Weiß Scharniere edelstahl, o.Absenkautomatik","Duravit Design Classics Viu WC-Sitz, Form: Rechteckig, Weiß Hochglanz, Absenkautomatik: Nein, Sitzgarnitur abnehmbar, Material Scharnier: Edelstahl, Farbe Scharnier: Edelstahl, Überlappend",WC-Sitze
